Close,1,2,3,4,5,6,7,8,9,10,11,1P,2P,3P,4P,5P,6P,7P,8P,9P,10P
89.04,88.86,90.08,90.3,90.83,90.33,89.5,89.62,90.13,89.93,89.25,89.34,-1.354351687,-0.2436323367,-0.5835076517,0.5535259604,0.9273743017,-0.1338986833,-0.5658493287,0.2223951963,0.7619047619,-0.1007387508
88.83,89.04,88.86,90.08,90.3,90.83,90.33,89.5,89.62,90.13,89.93,89.25,0.2025658339,-1.354351687,-0.2436323367,-0.5835076517,0.5535259604,0.9273743017,-0.1338986833,-0.5658493287,0.2223951963,0.7619047619
88.08,88.83,89.04,88.86,90.08,90.3,90.83,90.33,89.5,89.62,90.13,89.93,-0.2358490566,0.2025658339,-1.354351687,-0.2436323367,-0.5835076517,0.5535259604,0.9273743017,-0.1338986833,-0.5658493287,0.2223951963
87.96,88.08,88.83,89.04,88.86,90.08,90.3,90.83,90.33,89.5,89.62,90.13,-0.8443093549,-0.2358490566,0.2025658339,-1.354351687,-0.2436323367,-0.5835076517,0.5535259604,0.9273743017,-0.1338986833,-0.5658493287
87.59,87.96,88.08,88.83,89.04,88.86,90.08,90.3,90.83,90.33,89.5,89.62,-0.136239782,-0.8443093549,-0.2358490566,0.2025658339,-1.354351687,-0.2436323367,-0.5835076517,0.5535259604,0.9273743017,-0.1338986833
87.56,87.59,87.96,88.08,88.83,89.04,88.86,90.08,90.3,90.83,90.33,89.5,-0.4206457481,-0.136239782,-0.8443093549,-0.2358490566,0.2025658339,-1.354351687,-0.2436323367,-0.5835076517,0.5535259604,0.9273743017
87.64,87.56,87.59,87.96,88.08,88.83,89.04,88.86,90.08,90.3,90.83,90.33,-0.03425048522,-0.4206457481,-0.136239782,-0.8443093549,-0.2358490566,0.2025658339,-1.354351687,-0.2436323367,-0.5835076517,0.5535259604
88.49,87.64,87.56,87.59,87.96,88.08,88.83,89.04,88.86,90.08,90.3,90.83,0.09136592051,-0.03425048522,-0.4206457481,-0.136239782,-0.8443093549,-0.2358490566,0.2025658339,-1.354351687,-0.2436323367,-0.5835076517
87.72,88.49,87.64,87.56,87.59,87.96,88.08,88.83,89.04,88.86,90.08,90.3,0.9698767686,0.09136592051,-0.03425048522,-0.4206457481,-0.136239782,-0.8443093549,-0.2358490566,0.2025658339,-1.354351687,-0.2436323367
87.04,87.72,88.49,87.64,87.56,87.59,87.96,88.08,88.83,89.04,88.86,90.08,-0.8701548198,0.9698767686,0.09136592051,-0.03425048522,-0.4206457481,-0.136239782,-0.8443093549,-0.2358490566,0.2025658339,-1.354351687
87.19,87.04,87.72,88.49,87.64,87.56,87.59,87.96,88.08,88.83,89.04,88.86,-0.7751937984,-0.8701548198,0.9698767686,0.09136592051,-0.03425048522,-0.4206457481,-0.136239782,-0.8443093549,-0.2358490566,0.2025658339
87.32,87.19,87.04,87.72,88.49,87.64,87.56,87.59,87.96,88.08,88.83,89.04,0.1723345588,-0.7751937984,-0.8701548198,0.9698767686,0.09136592051,-0.03425048522,-0.4206457481,-0.136239782,-0.8443093549,-0.2358490566
87.45,87.32,87.19,87.04,87.72,88.49,87.64,87.56,87.59,87.96,88.08,88.83,0.1490996674,0.1723345588,-0.7751937984,-0.8701548198,0.9698767686,0.09136592051,-0.03425048522,-0.4206457481,-0.136239782,-0.8443093549
86.9,87.45,87.32,87.19,87.04,87.72,88.49,87.64,87.56,87.59,87.96,88.08,0.1488776913,0.1490996674,0.1723345588,-0.7751937984,-0.8701548198,0.9698767686,0.09136592051,-0.03425048522,-0.4206457481,-0.136239782
87.36,86.9,87.45,87.32,87.19,87.04,87.72,88.49,87.64,87.56,87.59,87.96,-0.6289308176,0.1488776913,0.1490996674,0.1723345588,-0.7751937984,-0.8701548198,0.9698767686,0.09136592051,-0.03425048522,-0.4206457481
87.84,87.36,86.9,87.45,87.32,87.19,87.04,87.72,88.49,87.64,87.56,87.59,0.5293440736,-0.6289308176,0.1488776913,0.1490996674,0.1723345588,-0.7751937984,-0.8701548198,0.9698767686,0.09136592051,-0.03425048522
87.89,87.84,87.36,86.9,87.45,87.32,87.19,87.04,87.72,88.49,87.64,87.56,0.5494505495,0.5293440736,-0.6289308176,0.1488776913,0.1490996674,0.1723345588,-0.7751937984,-0.8701548198,0.9698767686,0.09136592051
88.88,87.89,87.84,87.36,86.9,87.45,87.32,87.19,87.04,87.72,88.49,87.64,0.05692167577,0.5494505495,0.5293440736,-0.6289308176,0.1488776913,0.1490996674,0.1723345588,-0.7751937984,-0.8701548198,0.9698767686
88.95,88.88,87.89,87.84,87.36,86.9,87.45,87.32,87.19,87.04,87.72,88.49,1.12640801,0.05692167577,0.5494505495,0.5293440736,-0.6289308176,0.1488776913,0.1490996674,0.1723345588,-0.7751937984,-0.8701548198
89.35,88.95,88.88,87.89,87.84,87.36,86.9,87.45,87.32,87.19,87.04,87.72,0.07875787579,1.12640801,0.05692167577,0.5494505495,0.5293440736,-0.6289308176,0.1488776913,0.1490996674,0.1723345588,-0.7751937984
89.12,89.35,88.95,88.88,87.89,87.84,87.36,86.9,87.45,87.32,87.19,87.04,0.4496908375,0.07875787579,1.12640801,0.05692167577,0.5494505495,0.5293440736,-0.6289308176,0.1488776913,0.1490996674,0.1723345588
89.51,89.12,89.35,88.95,88.88,87.89,87.84,87.36,86.9,87.45,87.32,87.19,-0.2574146614,0.4496908375,0.07875787579,1.12640801,0.05692167577,0.5494505495,0.5293440736,-0.6289308176,0.1488776913,0.1490996674
90.2,89.51,89.12,89.35,88.95,88.88,87.89,87.84,87.36,86.9,87.45,87.32,0.4376122083,-0.2574146614,0.4496908375,0.07875787579,1.12640801,0.05692167577,0.5494505495,0.5293440736,-0.6289308176,0.1488776913
90.82,90.2,89.51,89.12,89.35,88.95,88.88,87.89,87.84,87.36,86.9,87.45,0.7708635907,0.4376122083,-0.2574146614,0.4496908375,0.07875787579,1.12640801,0.05692167577,0.5494505495,0.5293440736,-0.6289308176
89.79,90.82,90.2,89.51,89.12,89.35,88.95,88.88,87.89,87.84,87.36,86.9,0.6873614191,0.7708635907,0.4376122083,-0.2574146614,0.4496908375,0.07875787579,1.12640801,0.05692167577,0.5494505495,0.5293440736
89.47,89.79,90.82,90.2,89.51,89.12,89.35,88.95,88.88,87.89,87.84,87.36,-1.134111429,0.6873614191,0.7708635907,0.4376122083,-0.2574146614,0.4496908375,0.07875787579,1.12640801,0.05692167577,0.5494505495
89.36,89.47,89.79,90.82,90.2,89.51,89.12,89.35,88.95,88.88,87.89,87.84,-0.3563871255,-1.134111429,0.6873614191,0.7708635907,0.4376122083,-0.2574146614,0.4496908375,0.07875787579,1.12640801,0.05692167577
88.87,89.36,89.47,89.79,90.82,90.2,89.51,89.12,89.35,88.95,88.88,87.89,-0.122946239,-0.3563871255,-1.134111429,0.6873614191,0.7708635907,0.4376122083,-0.2574146614,0.4496908375,0.07875787579,1.12640801
